kitap_ad;yazar_adsoyad;kitap_kapak
Olasılıksız;"Adam Fawer";kitap/olasiliksiz.jpg
Fatih;"Okay Tiryakioğlu";kitap/fatih.jpeg
Sultan;"Okay Tiryakioğlu";kitap/sultan.jpg
Empati;"Adam Fawer";kitap/empati.jpg
"Da Vinci Şifresi";"Dan Brown";kitap/davincisifresi.jpg
"Hayvan Çiftliği";"George Orwell";kitap/hayvanciftligi.jpg
Sefiller;"Victor Hugo";kitap/sefiller.jpg
"Kuşatma 1453";"Okay Tiryakioğlu";kitap/kusatma1453.jpg
"Açlık Oyunları 1";"Suzanne Collins";kitap/aclikoyunlari.jpg
"Açlık Oyunları 2";"Suzanne Collins";kitap/atesiyakalamak.jpg
"Sineklerin Tanrısı";"William Golding";kitap/sineklerintanrisi.jpg
"Yaşlı Adam ve Deniz";"Ernest Hemingway";kitap/yasliadamvedeniz.jpg
"Fareler ve İnsanlar";"John Steinbeck";kitap/farelerveinsanlar.jpg
"Beyaz Zambaklar Ülkesinde";"Grigory Petrov";" kitap/beyazzambaklarulkesinde.jpg"
"Bir Delinin Hatıra Defteri";"Nikolay Gogol";" kitap/birdelininhatiradefteri.jfif"
"Bilinmeyen Bir Kadının Mektubu";"Stefan Zweig";" kitap/bilinmeyenbirkadininmektubu.jpg"
"Bir İdam Mahkumunun Son Günü";"Victor Hugo";" kitap/biridammahkumununsongunu.jpg"
"Bir Kadının Yaşamından 24 saat";"Stefan Zweig";" kitap/birkadininyasamindan24saat.jpg"
"Büyük Umutlar";"Charles Dickens";" kitap/buyukumutlar.jpg"
Dönüşüm;"Franz Kafka";" kitap/donusum.jpg"
"İnsan Neyle Yaşar?";Tolstoy;" kitap/insanneyleyasar.jpg"
Körlük;"Jose Saramago";" kitap/korluk.jpg"
"Kuyucaklı Yusuf";"Sabahattin Ali";" kitap/kuyucakliyusuf.jpg"
"Olağanüstü Bir Gece";"Stefan Zweig";" kitap/olaganustubirgece.jpg"
Satranç;"Stefan Zweig";" kitap/satranc.jpg"
"Şeker Portakalı";"Jose Mauro";" kitap/sekerportakali.jpg"
"Tanios Kayası";"Amin Maalouf";" kitap/tanioskayasi.jpg"
1984;"George Orwell";" kitap/1984.jpg"
"Ateş ve Güneş";"Falih Rıfkı Atay";" kitap/atesvegunes.jpg"
"Aylak Adam";"Yusuf Atılgan";" kitap/aylakadam.jpg"
"Benim Küçük Dostlarım";"Halide Zorlutuna";" kitap/benimkucukdostlarim.jpg"
"Bin Muhteşem Güneş";"Khaled Hosseini";" kitap/binmuhtesemgunes.jpg"
Cemile;"Cengiz Aytmatov";" kitap/cemile.jpg"
"Cengiz Han";"Okay Tiryakioğlu";" kitap/cengizhan.jpg"
"Dokuzuncu Hariciye Koğuşu";"Peyami Safa";" kitap/dokuzuncuhariciyekogusu.jpg"
"Don Kişot";"Miguel Cervantes";" kitap/donkisot.jpg"
Efsane;"İskender Pala";" kitap/efsane.jpg"
"Elon Musk";"Ashlee Vance";" kitap/elonmusk.jpg"
"İçimizdeki Şeytan";"Sabahattin Ali";" kitap/icimizdekiseytan.jpg"
İnsancıklar;Dostoyevski;" kitap/insanciklar.jpg"
"İnsan Nedir?";"Mark Twain";" kitap/insannedir.jpg"
"İstanbul Hatırası";"Ahmet Ümit";" kitap/istanbulhatirasi.jpg"
"Kırk Oda";"Murathan Mungan";" kitap/kirkoda.jpg"
"Kızıl Nehirler";"Cristophe Grange";" kitap/kizilnehirler.jpg"
"Korkuyu Beklerken";"Oğuz Atay";" kitap/korkuyubeklerken.jpg"
"Kürk Mantolu Madonna";"Sabahattin Ali";" kitap/kurkmantolumadonna.jpg"
"Limon Ağacı";"Sandy Tolan";" kitap/limonagaci.jpg"
"Melekler ve Şeytanlar";"Dan Brown";" kitap/meleklerveseytanlar.jpg"
"Narla İncire Gazel";"Bilge Karasu";" kitap/narlainciregazel.jpg"
Semerkant;"Amin Maalouf";" kitap/semerkant.jpg"
"Ulak Akıncı Fırtınası";"Okay Tiryakioğlu";" kitap/ulakakincifirtinasi.jpg"
"Ulak Çelik Hilalin Gölgesinde";"Okay Tiryakioğlu";" kitap/ulakcelikhilalingolgesinde.jpg"
"Ulak Mayerling Ormanı";"Okay Tiryakioğlu";" kitap/ulakmayerlingormani.jpg"
"Ulak Tunanın Sırrı";"Okay Tiryakioğlu";" kitap/ulaktunaninsirri.jpg"
"Ulak Viyana Kapılarında";"Okay Tiryakioğlu";" kitap/ulakviyanakapilarinda.jpg"
"Yılanı Öldürseler";"Yaşar Kemal";" kitap/yilanioldurseler.jpg"
Oblomov;"Ivan Gonçarov";" kitap/oblomov.jpg"
